filename,task,expected_text,grade
fnypha.wav,deletion,ore,2
fjwyyv.wav,deletion,bee,KG
hvngfx.wav,blending,pancake,KG
ilblad.wav,blending,cow,KG
aujkgo.wav,nonword_repetition,kuhcheyvap,KG
cthjvs.wav,nonword_repetition,noimahyd,KG
ffnzxd.wav,deletion,cool,KG
mbkwbz.wav,sentence_repetition,he wouldnt go with his sister because he was tired,1
bxdbam.wav,nonword_repetition,forbmuhteevheynohg,2
dppisl.wav,nonword_repetition,gahyfmowb,KG
fufmxr.wav,deletion,kid,KG
kcjrlg.wav,sentence_repetition,the old jacket has a weird smell,KG
eygzwx.wav,deletion,hair,KG
axqcfp.wav,nonword_repetition,cheemkeev,KG
idborn.wav,blending,rabbit,KG
josqnl.wav,blending,cow,KG
butesb.wav,nonword_repetition,vooktowf,1
cgivtw.wav,nonword_repetition,vahtoifkerheev,KG
kjboba.wav,sentence_repetition,the old jacket has a weird smell,KG
mtkozm.wav,sentence_repetition,the children can play but they need to be quiet,1
gzinzu.wav,deletion,ore,KG
leqxdj.wav,sentence_repetition,the dogs who barked at the squirrel knocked over the flower pot,2
mphzwz.wav,sentence_repetition,the horse was ridden by the boy,KG
fetsxb.wav,deletion,plan,KG
cvdawm.wav,nonword_repetition,nowb,2
jprahy.wav,blending,rabbit,KG
gnicrx.wav,deletion,free,KG
measfc.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,2
agmfmq.wav,nonword_repetition,nowbheektervohk,KG
iypydq.wav,blending,fish,KG
azkaii.wav,nonword_repetition,kuhcheyvap,KG
kmahko.wav,sentence_repetition,cook dinner then you may have cake and watch tv,3
kzylee.wav,sentence_repetition,why does the science lab smell like smoke,KG
mpllyc.wav,sentence_repetition,the children can play but they need to be quiet,KG
caxgca.wav,nonword_repetition,goomdachahytowb,1
lbtuos.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,KG
lfbpyv.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,1
iyydtn.wav,blending,eyebrow,KG
actojr.wav,nonword_repetition,mowp,1
joutrv.wav,blending,snake,KG
hqigkn.wav,blending,mouse,KG
eajibl.wav,nonword_repetition,vahftombuhgoid,KG
hxhmfs.wav,blending,rabbit,KG
dpsomb.wav,nonword_repetition,vugoobuhcheen,KG
cscqaw.wav,nonword_repetition,kuhcheyvap,KG
jmdxde.wav,blending,apple,KG
genyqh.wav,deletion,eat,2
dgoulm.wav,nonword_repetition,neygfowtvahkeeb,1
birkej.wav,nonword_repetition,moif,KG
jtafle.wav,blending,jacket,KG
dwrozg.wav,nonword_repetition,fuhmoibnagoopchey,1
illbin.wav,blending,football,KG
fdojcg.wav,deletion,key,KG
aiybkr.wav,nonword_repetition,davhowterboif,1
ewykzv.wav,deletion,bet,1
hhvrtb.wav,deletion,fall,KG
ldoecg.wav,sentence_repetition,practice singing and dancing at home every night before the show next week,2
ksmheb.wav,sentence_repetition,he wouldnt go with his sister because he was tired,1
dkfacg.wav,nonword_repetition,mowp,1
jieqbk.wav,blending,mother,KG
ajeuxj.wav,nonword_repetition,nohfteyg,1
ffqpkj.wav,deletion,house,KG
aervjh.wav,nonword_repetition,meevteyfohg,KG
fqzily.wav,deletion,off,KG
mnoleh.wav,sentence_repetition,although she had already eaten breakfast her father made her a snack,KG
bavfmb.wav,nonword_repetition,kahymgowboov,1
lrpmsc.wav,sentence_repetition,he wouldnt go with his sister because he was tired,KG
ivldfq.wav,blending,rabbit,KG
ltamej.wav,sentence_repetition,the birds chirped loudly as the sun rose,KG
knrvtr.wav,sentence_repetition,what do you want to do after reading this book,1
gutdfv.wav,deletion,light,KG
lldjac.wav,sentence_repetition,where did you put that new pencil i just bought yesterday,1
cfudjt.wav,nonword_repetition,vugoobuhcheen,KG
bcfkgz.wav,nonword_repetition,neemvoik,1
gzcgnb.wav,deletion,knee,KG
lddzfy.wav,sentence_repetition,he wouldnt go with his sister because he was tired,1
cfytpd.wav,nonword_repetition,kefnuhvohkmerforb,KG
lsijai.wav,sentence_repetition,neither store is open but both have used childrens books for sale,1
kyxgsd.wav,sentence_repetition,he wouldnt go with his sister because he was tired,KG
jpdtkz.wav,blending,feet,KG
ebeoqw.wav,nonword_repetition,towneebvookahyb,2
gabgyo.wav,deletion,fish,KG
grjfid.wav,deletion,bell,1
hzkiak.wav,blending,smoke,KG
lzsplt.wav,sentence_repetition,where did you put that new pencil i just bought yesterday,1
mhhvqn.wav,sentence_repetition,put the chicken in the freezer before you leave,KG
krjexo.wav,sentence_repetition,instead of watching the movie they decided they were tired and went to sleep,1
founkn.wav,deletion,eat,2
jaekkm.wav,blending,kite,KG
ifqtug.wav,blending,piano,KG
jqkepb.wav,blending,baby,KG
cilybg.wav,nonword_repetition,goifpahyd,1
gtelme.wav,deletion,ore,KG
gtxsim.wav,deletion,key,KG
dwunvw.wav,nonword_repetition,buhkahypvermoid,1
iyuhto.wav,blending,desk,KG
jlwyqy.wav,blending,fly,KG
lxisoa.wav,sentence_repetition,tell your little brother he needs to wash his socks,2
awjrog.wav,nonword_repetition,koovnorb,1
ecnyxp.wav,nonword_repetition,goomdachahytowb,1
mwrobp.wav,sentence_repetition,whenever the bell rings walk through those doors,KG
ilnbsb.wav,blending,football,KG
lzccsi.wav,sentence_repetition,his friend has an old guitar that you could borrow if you would like,3
lttttm.wav,sentence_repetition,my oldest brother is easily taller than all our cousins,3
bulefe.wav,nonword_repetition,kahymgowboov,1
dqoprs.wav,nonword_repetition,neemvoik,1
mdhwme.wav,sentence_repetition,he wouldnt go with his sister because he was tired,KG
fbfmdu.wav,deletion,house,KG
jxvdnt.wav,sentence_repetition,as the sun began to set the boys made their way home,1
ejjcmm.wav,deletion,bee,KG
kwbzsx.wav,sentence_repetition,quickly pick up the toys that were dumped out of that box,3
cmuiou.wav,nonword_repetition,poiteyvohkmuhowb,KG
aqdfgz.wav,nonword_repetition,neemvoik,1
mbvxyi.wav,sentence_repetition,was the boy with his friends during the movie,1
cgyrwh.wav,nonword_repetition,kahymgowboov,1
cxlpkd.wav,nonword_repetition,doovkeepohfmerbeyg,1
jcquhy.wav,blending,smell,KG
mtuexr.wav,sentence_repetition,the birds are flying quickly,KG
cbgfuy.wav,nonword_repetition,vugoobuhcheen,KG
fylzbp.wav,deletion,round,2
lolzrg.wav,sentence_repetition,even though it is dark outside the boys house he is still playing happily,2
hrrfvp.wav,blending,butterfly,KG
glrqbj.wav,deletion,house,KG
enxqxj.wav,deletion,spit,1
bncxeq.wav,nonword_repetition,kuhcheyvap,KG
jynurn.wav,sentence_repetition,his friend has an old guitar that you could borrow if you would like,2
kfhzmm.wav,sentence_repetition,because it is raining can we play some video games that i downloaded last week,3
ixrikz.wav,blending,box,KG
daigdv.wav,nonword_repetition,pahyb,KG
hlmckp.wav,deletion,it,KG
irdtkc.wav,blending,mud,KG
ifkggu.wav,blending,sock,KG
ajqsqv.wav,nonword_repetition,cheemkeev,KG
eszqjz.wav,deletion,it,KG
mkhbyj.wav,sentence_repetition,that toy belongs to the boys new kitten,KG
jtwyxz.wav,blending,smoke,KG
midxhg.wav,sentence_repetition,the bat wakes up at night and tries to catch small bugs,3
evktjg.wav,deletion,or,KG
cbmkjp.wav,nonword_repetition,vugoobuhcheen,1
arroqk.wav,nonword_repetition,toifkerpohgvoomef,1
gucpul.wav,deletion,an,KG
eplebn.wav,deletion,room,KG
akhjac.wav,nonword_repetition,voogfowboik,KG
abxnyk.wav,nonword_repetition,vugoobuhcheen,1
hnudol.wav,deletion,hot,1
ffpodj.wav,deletion,ore,KG
hnufez.wav,deletion,light,KG
bbwqlp.wav,nonword_repetition,dakgowmuhkoov,1
emmtfb.wav,deletion,fish,KG
ifzpzt.wav,blending,fan,KG
fvjodw.wav,deletion,rain,KG
cpvsmn.wav,nonword_repetition,keevnamoiftowg,1
kewluk.wav,sentence_repetition,the farmer watered his vegetables while the cows chewed on grass,KG
hdvhxi.wav,deletion,it,KG
ahptdm.wav,nonword_repetition,geftohgneeb,1
hlgdzi.wav,deletion,my,KG
cqliac.wav,nonword_repetition,moid,KG
gnfayv.wav,deletion,old,KG
axpcbn.wav,nonword_repetition,tohfpeeg,KG
kuittz.wav,sentence_repetition,i like jumping rope more than i like playing soccer on the playground,2
mwmzkt.wav,sentence_repetition,we have had to stop playing outside because it has rained so much,1
ltplez.wav,sentence_repetition,his friend has an old guitar that you could borrow if you would like,3
ehfkuf.wav,nonword_repetition,vugoobuhcheen,KG
flxgkh.wav,deletion,car,KG
ethsvf.wav,deletion,bee,KG
kgrneg.wav,sentence_repetition,the old jacket has a weird smell,KG
izrnwe.wav,blending,fox,KG
mctqbk.wav,sentence_repetition,the children can play but they need to be quiet,1
hgksmu.wav,deletion,right,KG
ewoxju.wav,deletion,round,2
hqnesk.wav,blending,paper,KG
baxtqd.wav,nonword_repetition,heeg,1
lbvtfx.wav,sentence_repetition,both the girl and her neighbor watch tv every sunday,1
gxjxgg.wav,deletion,key,KG
mposyk.wav,sentence_repetition,the children can play but they need to be quiet,2
imwkdy.wav,blending,jacket,KG
czuedj.wav,nonword_repetition,kurcheypheef,1
ehdyye.wav,nonword_repetition,tevbeenorb,1
mmbivb.wav,sentence_repetition,jenna left the birthday party early because she felt sick,KG
btcanr.wav,nonword_repetition,tuhneydvoocheeb,1
brhoeb.wav,nonword_repetition,choig,1
gtuzeb.wav,deletion,key,KG
bxfeeg.wav,nonword_repetition,chohvderfowbneeteyf,1
gfdnws.wav,deletion,eat,KG
maters.wav,sentence_repetition,as the sun began to set the boys made their way home,1
mvjrdu.wav,sentence_repetition,this morning i wanted to go to the park but the bus was too late,2
mpkxjo.wav,sentence_repetition,johnny saw his mom light a candle in the kitchen,KG
easnsa.wav,nonword_repetition,vugoobuhcheen,KG
iukbcr.wav,blending,eyebrow,KG
edcwms.wav,nonword_repetition,goomdachahytowb,2
ighxih.wav,blending,tiger,KG
cbhfkh.wav,nonword_repetition,bowfgeechoib,1
fjfpwa.wav,deletion,eat,1
lpzbbz.wav,sentence_repetition,if lily did not have a broken finger she would play tennis with her friends,1
bsxhdx.wav,nonword_repetition,vugoobuhcheen,1
iclnht.wav,blending,cow,KG
fvnnay.wav,deletion,right,KG
fmrafv.wav,deletion,shell,KG
gyvkwb.wav,deletion,ham,KG
etbtoh.wav,deletion,lap,KG
basokd.wav,nonword_repetition,kuhcheyvap,KG
hupcbv.wav,blending,smoke,KG
mbyavj.wav,sentence_repetition,the red ball was kicked into the street by the young boy,1
cayncn.wav,nonword_repetition,nowbheektervohk,KG
bvdrhi.wav,nonword_repetition,koovnorb,1
hrvoao.wav,blending,knife,KG
crpdvx.wav,nonword_repetition,goomdachahytowb,KG
gfeexl.wav,deletion,eat,KG
bodtwg.wav,nonword_repetition,duhhoigmoofeyb,1
cazkte.wav,nonword_repetition,koofpergoibneek,1
jesfbv.wav,blending,mad,KG
jytqaj.wav,sentence_repetition,quickly pick up the toys that were dumped out of that box,3
btmhyj.wav,nonword_repetition,vugoobuhcheen,1
idbnpl.wav,blending,pancake,KG
ahbnxp.wav,nonword_repetition,goomdachahytowb,1
azwhnh.wav,nonword_repetition,chohfmoonorbkahyheyb,2
ihwbci.wav,blending,fish,KG
anikzc.wav,nonword_repetition,dowkheefpuhgoov,KG
euycze.wav,deletion,eat,1
jjkfvo.wav,blending,rabbit,KG
cyrsda.wav,nonword_repetition,forbmuhteevheynohg,2
axuwtq.wav,nonword_repetition,moidheyf,KG
fdgmoc.wav,deletion,eat,KG
jspkrr.wav,blending,sheep,KG
bygwcb.wav,nonword_repetition,huhvohkdooteyf,KG
hsiasi.wav,blending,mouse,KG
bbdtpv.wav,nonword_repetition,powmfoibeyvohk,1
lbnzfs.wav,sentence_repetition,he wouldnt go with his sister because he was tired,KG
grmlgp.wav,deletion,pay,1
dgjmzx.wav,nonword_repetition,goomdachahytowb,1
deobih.wav,nonword_repetition,vugoobuhcheen,KG
cwiomt.wav,nonword_repetition,bowmhoideegmohf,1
fuznao.wav,deletion,plans,1
jmlabj.wav,blending,rabbit,KG
bofinm.wav,nonword_repetition,boovteypahygfuhdap,1
ahgyum.wav,nonword_repetition,kuhcheyvap,1
edmsjw.wav,nonword_repetition,voimkooheefgahyp,1
fuorps.wav,deletion,win,KG
hbavfb.wav,deletion,right,KG
lgsbdb.wav,sentence_repetition,what do you want to do after reading this book,1
dhxtly.wav,nonword_repetition,vugoobuhcheen,1
dbpivv.wav,nonword_repetition,gowfdoikeem,KG
lvahpp.wav,sentence_repetition,pick out your favorite dessert or snack before we hang the birthday banner,3
hxrlpg.wav,blending,fast,KG
gquymf.wav,deletion,day,KG
jirmwt.wav,blending,smell,KG
ffvveo.wav,deletion,off,KG
kmvxte.wav,sentence_repetition,play with your friends when you are at their house,KG
kuerzi.wav,sentence_repetition,the worker already finished all his projects for today,1
kkbfpg.wav,sentence_repetition,that toy belongs to the boys new kitten,KG
iifrnj.wav,blending,baby,KG
ksmegk.wav,sentence_repetition,the small bird woke up before sunrise to catch a worm on the ground,3
kiifhj.wav,sentence_repetition,are we going to our uncles farm to feed his baby pigs this week,2
mhkgru.wav,sentence_repetition,do not forget to take pictures at your uncles wedding next week,KG
dubmbm.wav,nonword_repetition,bowfgeechoib,1
lsozsy.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,1
jgzhju.wav,blending,fly,KG
blldvy.wav,nonword_repetition,powmfoibeyvohk,1
aeypmm.wav,nonword_repetition,cheykfuhmowdoo,KG
baemib.wav,nonword_repetition,mowp,1
mowezv.wav,sentence_repetition,the picture she drew was framed by her mom and put on the refrigerator,KG
gjmqwk.wav,deletion,fall,KG
hopfhf.wav,blending,fly,KG
lyvctr.wav,sentence_repetition,while his sister washed plates the boy dried the bowls with a towel,3
baifgo.wav,nonword_repetition,kuhcheyvap,1
dnfqmk.wav,nonword_repetition,gahyfmowb,KG
flufyi.wav,deletion,win,KG
eyeggk.wav,deletion,so,KG
jewnvu.wav,blending,fan,KG
eexbfp.wav,nonword_repetition,murvoipgeeteyf,KG
jkabkv.wav,blending,eyelash,KG
kpbjwa.wav,sentence_repetition,the children can play but they need to be quiet,KG
awsomh.wav,nonword_repetition,vuhbowkeiv,KG
ippcds.wav,blending,fly,KG
jwbasw.wav,sentence_repetition,the man in the truck is my friends uncle,KG
dykasf.wav,nonword_repetition,kuhcheyvap,2
koujeg.wav,sentence_repetition,would he rather play soccer or watch the game on tv,2
mwtden.wav,sentence_repetition,quickly pick up the toys that were dumped out of that box,3
eeklrv.wav,nonword_repetition,kahymgowboov,1
naaywf.wav,sentence_repetition,the famous musician felt nervous for his first live concert,2
lbvfwd.wav,sentence_repetition,the children can play but they need to be quiet,1
lfxida.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,KG
fzrlck.wav,deletion,knee,KG
lbalwh.wav,sentence_repetition,a beautiful piano sat in the attic,KG
ccpyxj.wav,nonword_repetition,toifkerpohgvoomef,1
itleda.wav,blending,saw,KG
cnzzcs.wav,nonword_repetition,goomdachahytowb,2
kxurhj.wav,sentence_repetition,jenna left the birthday party early because she felt sick,KG
kmrupc.wav,sentence_repetition,i like jumping rope more than i like playing soccer on the playground,2
aowaox.wav,nonword_repetition,vooktowf,1
fxeroy.wav,deletion,rink,1
aiahax.wav,nonword_repetition,goomdachahytowb,1
giiygr.wav,deletion,bet,1
kkavgc.wav,sentence_repetition,would he rather play soccer or watch the game on tv,2
ctodmi.wav,nonword_repetition,noimahyd,KG
hvungw.wav,blending,rabbit,KG
akljgt.wav,nonword_repetition,goomdachahytowb,KG
gbbwbx.wav,deletion,fall,KG
irexfe.wav,blending,fish,KG
hhntjx.wav,deletion,old,KG
ehtinv.wav,nonword_repetition,tevkeeberfowt,1
laywhn.wav,sentence_repetition,the boy never eats carrots but sometimes he likes broccoli,KG
gsfcbt.wav,deletion,loud,1
jhbcrg.wav,blending,tiger,KG
etslru.wav,deletion,bee,KG
enoaot.wav,deletion,it,KG
hcyvae.wav,deletion,bell,KG
hqslxr.wav,blending,knife,KG
ftefdi.wav,deletion,shell,KG
frqffe.wav,deletion,old,KG
bjzkno.wav,nonword_repetition,koovnorb,1
mpdqnp.wav,sentence_repetition,the horse was ridden by the boy,KG
agknss.wav,nonword_repetition,kuhcheyvap,1
hzsbcy.wav,blending,bike,KG
lioeqk.wav,sentence_repetition,whenever the bell rings walk through those doors,1
haoqvs.wav,deletion,win,KG
gtizdc.wav,deletion,win,KG
clhkka.wav,nonword_repetition,hevgeembohf,2
jwzfxg.wav,sentence_repetition,because it is raining can we play some video games that i downloaded last week,3
apciii.wav,nonword_repetition,vohp,KG
dcxugv.wav,nonword_repetition,goomdachahytowb,KG
mgcrse.wav,sentence_repetition,our great aunts house is never boring because she has all my favorite movies,3
iuqqyn.wav,blending,shot,KG
iqtztj.wav,blending,potato,KG
gbfaun.wav,deletion,plan,KG
glgbix.wav,deletion,eat,KG
jfqoik.wav,blending,fox,KG
hjswxy.wav,deletion,plans,1
iwdfod.wav,blending,fan,KG
moykmh.wav,sentence_repetition,the black car passed us by going very fast,1
axpdlu.wav,nonword_repetition,tohfpeeg,KG
hbzopq.wav,deletion,ham,KG
cmdblj.wav,nonword_repetition,goomdachahytowb,KG
kwjbkq.wav,sentence_repetition,if you are hungry make snacks with whatever is in the kitchen,2
aoxemf.wav,nonword_repetition,nowbheektervohk,KG
krvgjo.wav,sentence_repetition,where did you put that new pencil i just bought yesterday,1
epklrg.wav,deletion,bee,1
jpioai.wav,blending,fish,KG
jogjnx.wav,blending,cow,KG
hfbvwu.wav,deletion,air,KG
kolvis.wav,sentence_repetition,the horse was ridden by the boy,KG
mmmsbq.wav,sentence_repetition,the children can play but they need to be quiet,1
idprsm.wav,blending,football,KG
hgkewr.wav,deletion,rain,KG
bneloy.wav,nonword_repetition,kahymgowboov,1
gdcjzw.wav,deletion,bell,KG
irivqr.wav,blending,piano,KG
gwadwl.wav,deletion,corn,KG
jndjzd.wav,blending,rabbit,KG
bvsaew.wav,nonword_repetition,kuhcheyvap,2
jvvogv.wav,sentence_repetition,the coat was not worn by his sister,1
gtqfxt.wav,deletion,tell,KG
kcukzq.wav,sentence_repetition,my grandfathers old childhood stories are my favorite to hear,2
eynrjd.wav,deletion,bed,KG
ecegob.wav,nonword_repetition,purvanuhkahyd,KG
akqqvh.wav,nonword_repetition,vahtoifkerheev,KG
atnicw.wav,nonword_repetition,toifkerpohgvoomef,1
gbbxad.wav,deletion,plan,KG
giimrb.wav,deletion,eat,1
bvztew.wav,nonword_repetition,kahymneevohkmuhfoig,1
dchqbx.wav,nonword_repetition,goomdachahytowb,2
fvanvs.wav,deletion,key,KG
lduukm.wav,sentence_repetition,do not forget to take pictures at your uncles wedding next week,KG
grroij.wav,deletion,loud,1
avhovz.wav,nonword_repetition,vahtoifkerheev,KG
cisfeq.wav,nonword_repetition,chav,KG
kyswcp.wav,sentence_repetition,because it is raining can we play some video games that i downloaded last week,3
fhcqhq.wav,deletion,for,KG
mkfulv.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,KG
galljx.wav,deletion,cool,KG
mnaygw.wav,sentence_repetition,the small truck was hit by the car that was going too fast,KG
eodskw.wav,deletion,eat,1
drbdcx.wav,nonword_repetition,vohp,KG
dgbaro.wav,nonword_repetition,goomdachahytowb,1
kvbymk.wav,sentence_repetition,he could not find the keys where he left them,2
ienfzw.wav,blending,saw,KG
azuyyh.wav,nonword_repetition,kuhcheyvap,1
hjeilq.wav,deletion,slash,2
ewvfrw.wav,deletion,tray,2
ddayvi.wav,nonword_repetition,toifkerpohgvoomef,1
kvwbmf.wav,sentence_repetition,tell your little brother he needs to wash his socks,2
itleep.wav,blending,sleep,KG
cmvgab.wav,nonword_repetition,dowkheefpuhgoov,KG
fwlavc.wav,deletion,bet,1
fncimc.wav,deletion,bruise,2
eduhgm.wav,nonword_repetition,goomdachahytowb,1
jfncic.wav,blending,tiger,KG
gvkgkv.wav,deletion,is,KG
fisohi.wav,deletion,low,KG
aqcbyu.wav,nonword_repetition,feeb,KG
lwuvfp.wav,sentence_repetition,the children can play but they need to be quiet,KG
bltfvc.wav,nonword_repetition,kuhcheyvap,KG
bxsdow.wav,nonword_repetition,heeg,1
azjmcn.wav,nonword_repetition,kuhcheyvap,2
lxcoar.wav,sentence_repetition,the boy bought himself a brand new alarm clock,KG
ktuxda.wav,sentence_repetition,quickly pick up the toys that were dumped out of that box,3
axwxpw.wav,nonword_repetition,huhvohkdooteyf,KG
eubkjh.wav,deletion,road,KG
hqdmxt.wav,blending,mouse,KG
iyuzqs.wav,blending,snake,KG
alrlvr.wav,nonword_repetition,vahtoifkerheev,1
efocsu.wav,nonword_repetition,gahyf,KG
aukzqq.wav,nonword_repetition,vugoobuhcheen,KG
irulbw.wav,blending,eyelash,KG
bnrbri.wav,nonword_repetition,goomdachahytowb,1
cirqof.wav,nonword_repetition,duhpeygeem,KG
dwslbn.wav,nonword_repetition,kuhcheyvap,1
ktgruq.wav,sentence_repetition,quickly pick up the toys that were dumped out of that box,3
evdbqq.wav,deletion,bee,1
hnutpk.wav,deletion,key,KG
duwjjx.wav,nonword_repetition,vugoobuhcheen,KG
cqudfx.wav,nonword_repetition,teevkahnahyd,KG
imitqw.wav,blending,smoke,KG
igqsor.wav,blending,desk,KG
eyaykt.wav,deletion,it,KG
edodbq.wav,nonword_repetition,voimkooheefgahyp,1
kyrnbg.wav,sentence_repetition,the boy never eats carrots but sometimes he likes broccoli,KG
ggdzil.wav,deletion,lap,KG
ftnruy.wav,deletion,rain,KG
cegrjb.wav,nonword_repetition,neygfowtvahkeeb,1
cfugvb.wav,nonword_repetition,moid,KG
jamuda.wav,blending,fish,KG
mpmnuc.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,KG
lzxjyb.wav,sentence_repetition,although she had already eaten breakfast her father made her a snack,1
bcawud.wav,nonword_repetition,powfberkahym,1
jitluo.wav,blending,strawberry,KG
bxnsof.wav,nonword_repetition,nohfteyg,1
fdenqs.wav,deletion,is,KG
kwllvm.wav,sentence_repetition,because it is raining can we play some video games that i downloaded last week,3
fwvfoq.wav,deletion,bee,1
jjgrot.wav,blending,apple,KG
ajpydo.wav,nonword_repetition,tohfpeeg,KG
mivxco.wav,sentence_repetition,although she had already eaten breakfast her father made her a snack,KG
hucytt.wav,blending,butterfly,KG
fptbzh.wav,deletion,tell,KG
mjtjzf.wav,sentence_repetition,the boy never eats carrots but sometimes he likes broccoli,KG
bbncly.wav,nonword_repetition,fuhmoibnagoopchey,1
ehjuhq.wav,nonword_repetition,kahymheypoivtuhvook,1
lbjbei.wav,sentence_repetition,instead of drinking his milk willie ate a green apple,KG
leikho.wav,sentence_repetition,where are all those big trucks on the interstate going,2
irtkaq.wav,blending,smoke,KG
dvyzpt.wav,nonword_repetition,neemvoik,1
kzvnbw.wav,sentence_repetition,will we play games at your cousins party,KG
mtepku.wav,sentence_repetition,the children can play but they need to be quiet,KG
emxisk.wav,deletion,lip,KG
kkmlrq.wav,sentence_repetition,rather than bake cookies the woman decided to make an apple pie,2
fezolp.wav,deletion,nap,KG
mvbkfx.wav,sentence_repetition,the children can play but they need to be quiet,1
fypait.wav,deletion,steam,2
ikeelv.wav,blending,outside,KG
fglkca.wav,deletion,ask,KG
mtmxkg.wav,sentence_repetition,the children can play but they need to be quiet,1
azkrih.wav,nonword_repetition,vohp,KG
axmjqx.wav,nonword_repetition,goomdachahytowb,KG
jjspnw.wav,blending,tiger,KG
gnrnqw.wav,deletion,old,KG
dvnhao.wav,nonword_repetition,cheykfuhmowdoo,KG
hwfsnu.wav,blending,hamburger,KG
cgngzd.wav,nonword_repetition,forbtermahyvnad,KG
ilxaln.wav,blending,bike,KG
kdsvon.wav,sentence_repetition,will we play games at your cousins party,KG
cngviq.wav,nonword_repetition,tevbeenorb,1
jwdtlo.wav,sentence_repetition,she does not like pancakes,KG
mqsdpr.wav,sentence_repetition,the horse was ridden by the boy,KG
gegacy.wav,deletion,cook,KG
hbayei.wav,deletion,far,KG
hcqbuz.wav,deletion,key,KG
cueiqv.wav,nonword_repetition,kuhcheyvap,1
hkntdv.wav,deletion,eat,KG
datboa.wav,nonword_repetition,nowbheektervohk,KG
cktpxh.wav,nonword_repetition,noimahyd,KG
ecveuv.wav,nonword_repetition,boifneekahyb,KG
auarkf.wav,nonword_repetition,deevmeygpohf,1
bixjpi.wav,nonword_repetition,moif,KG
eutexy.wav,deletion,off,KG
dqolxq.wav,nonword_repetition,vugoobuhcheen,KG
ixvdcr.wav,blending,hamburger,KG
hkmaoo.wav,deletion,bet,1
dqqtsl.wav,nonword_repetition,kahymheypoivtuhvook,1
agrnlv.wav,nonword_repetition,geemferbowvkervoog,1
ixavrq.wav,blending,fox,KG
aebxwy.wav,nonword_repetition,feeb,KG
hozqhd.wav,blending,box,KG
mjyppp.wav,sentence_repetition,although she had already eaten breakfast her father made her a snack,KG
miiqju.wav,sentence_repetition,he wouldnt go with his sister because he was tired,1
hbkidy.wav,deletion,my,KG
cbclmi.wav,nonword_repetition,moidheyf,KG
bbskuo.wav,nonword_repetition,vugoobuhcheen,1
dmumlf.wav,nonword_repetition,bowmhoideegmohf,1
gvphiw.wav,deletion,is,KG
